date,reserve_x,netflow_total_x,transactions_count_inflow_x,transactions_count_outflow_x,addresses_count_inflow,addresses_count_outflow,exchange_whale_ratio,fund_flow_ratio_x,estimated_leverage_ratio,stablecoin_supply_ratio,reserve_y,reserve_usd,netflow_total_y,open_interest,taker_buy_volume,taker_sell_volume,taker_buy_ratio,taker_sell_ratio,taker_buy_sell_ratio,transactions_count_inflow_y,addresses_count_active,addresses_count_sender,addresses_count_receiver,hashrate,price_usd_close
2019.7.4,2895853.086,5578.471974,56190,26646,63745,50977,0.3672262,0.07395191,0.08770132,43.61111927,31782.50566,355546123.5,-414.4414191,797570728,2392386139,2680631204,0.47159037,0.52840963,0.8924712,56190,822481,543883,603027,65870934508,11149.88892
2019.7.5,2889263.639,-6589.44718,51914,27849,66470,38950,0.42111587,0.05399996,0.08676367,42.67030533,32406.95556,354903963.7,624.4499019,776004814,2394164951,2491714970,0.49001715,0.50998285,0.96085025,51914,820571,519594,617699,74548542647,10996.06
2019.7.6,2888091.512,-1172.126713,40955,21551,49592,43454,0.41002539,0.06607614,0.08654629,43.61099105,32915.09427,369884194.7,508.1387064,790037851,2136456826,2076711067,0.50709036,0.49290964,1.02876941,40955,679459,416782,523890,70209738578,11258.42
2019.7.7,2888133.068,41.55564102,39237,21496,49214,45831,0.50282874,0.05938868,0.08801319,44.30494704,33543.34918,383667989.3,628.2549073,817792129,1675589702,1551626036,0.51920598,0.48079402,1.07989275,39237,604469,385026,447052,60348820238,11461.84
2019.7.8,2903258.772,15125.70444,56979,25352,66235,50361,0.46787115,0.03583148,0.09297416,46.7916266,33540.21234,412236041.8,-3.13683926,927427693,2172822844,1932530626,0.52926572,0.47073428,1.1243407,56979,830651,540909,622458,70209738578,12282.7825
2019.7.9,2912872.928,9614.155619,62411,24548,68815,44502,0.34892027,0.04522122,0.09775539,47.4122866,33142.21986,416468449,-397.9924784,1001717900,2996552560,2987398238,0.50076491,0.49923509,1.00306431,62411,819099,520603,623116,69389601657,12560.78
2019.7.10,2922542.063,9669.134759,63679,27070,72519,36673,0.36143817,0.05476117,0.09484778,45.64650595,32280.26496,391347371.2,-861.9549006,944859159,3993863239,4392223091,0.47624876,0.52375124,0.90930337,63679,798533,491541,616789,58125055933,12098.8825
2019.7.11,2934079.228,11537.16514,60207,28299,67960,53483,0.46839332,0.044336,0.09274541,42.40764058,32734.57145,369052013.6,454.3064885,868189338,3448391772,3739037100,0.47978099,0.52021901,0.92226733,60207,777672,489394,598397,58125055933,11343.8475
2019.7.12,2920216.928,-13862.30004,52082,31611,64347,51791,0.43940156,0.03924787,0.09078575,43.58302543,32983.38539,388905448,248.8139426,881539222,2286894480,2109246258,0.52020502,0.47979498,1.08422356,52082,907403,598986,637963,73895419946,11780.58
2019.7.13,2919610.682,-606.2455423,40002,24374,48160,35402,0.53968709,0.03959873,0.0909993,42.38857632,33370.21648,378434105.7,386.8310896,851542900,2248160103,2432136638,0.48034563,0.51965437,0.924356,40002,656426,428152,472509,63532037881,11354.835
